id,is_confirmed,is_payment_verified,is_fulfilled,state,registered_date,date_from,date_to,adult_count,child_count,infant_count,travel_type,price,discount,final_price,buy_price,reservation_type,cancellation_state,payment_currency_unit,currency_book,original_sell_price,utm_campaign,is_utm_campaign,total_room_nights,booking_price,booking_date,user_id,hotel_id,hotel_rank,hotel_stars,hotel_accommodation_type,net_commission_revenue_eur,cost_of_rooms_eur,gross_booking_revenue_eur,is_credit_booking,os,sum_room_adult,sum_room_children,sum_room_extra_bed,room_id,book_from_recommendation,city_id
88262740,1,1,1,draft,2022-08-08 08:05:34.585000,2022-08-25,2022-08-26,0,0,0,,900000,0,900000,792000,b2c,,rials,"{""euro"": 12100, ""dollar"": 10406}",900000.0,,0,1,900000,2022-08-08,0,0,52.0,3.0,Hotel,22.0408163265306,161.632653061224,183.673469387755,0,desktop,2,1.0,1.0,0,0,0
88262391,1,1,1,draft,2022-08-08 07:21:02.876000,2022-08-09,2022-08-10,0,0,0,,440000,0,440000,400000,b2c,,rials,"{""euro"": 12100, ""dollar"": 10406}",440000.0,,0,1,440000,2022-08-08,0,1,57.0,2.0,Hotel,8.16326530612245,81.6326530612245,89.7959183673469,0,desktop,2,1.0,0.0,1,0,1
88261688,1,1,1,draft,2022-08-08 07:07:57.103000,2022-08-11,2022-08-13,0,0,0,,2700000,0,2700000,2295000,b2c,,rials,"{""euro"": 12100, ""dollar"": 10406}",2700000.0,,0,2,2700000,2022-08-08,0,2,38.0,3.0,Hotel,82.6530612244898,468.367346938775,551.020408163265,0,desktop,3,1.0,1.0,2,0,2
88261666,1,1,1,draft,2022-08-08 06:40:20.899000,2022-08-15,2022-08-16,0,0,0,,6460000,0,6460000,6080000,b2c,,rials,"{""euro"": 12100, ""dollar"": 10406}",6460000.0,,0,1,6460000,2022-08-08,0,3,10.0,5.0,Hotel,77.5510204081631,1240.81632653061,1318.36734693878,0,desktop,3,1.0,1.0,3,0,3
88261194,1,1,1,draft,2022-08-08 04:49:46.954000,2022-08-10,2022-08-15,0,0,0,,650000,0,650000,585000,b2c,,rials,"{""euro"": 12100, ""dollar"": 10406}",650000.0,10793397577,1,5,650000,2022-08-08,0,4,93.0,3.0,Hotel,13.265306122449,119.387755102041,132.65306122449,0,desktop,2,1.0,0.0,4,0,4
88351898,1,1,1,draft,2022-08-08 18:43:12.486000,2022-08-08,2022-08-09,0,0,0,,3182000,0,3182000,2864250,b2c,,rials,"{""euro"": 12100, ""dollar"": 10406}",3182000.0,,0,1,3182000,2022-08-08,0,5,96.0,0.0,TraditionalHouse,64.8469387755102,584.540816326531,649.387755102041,0,desktop,3,1.0,1.0,5,0,5
88254690,1,1,1,draft,2022-08-08 03:30:04.148000,2022-08-26,2022-08-28,0,0,0,,1240000,0,1240000,1160000,b2c,,rials,"{""euro"": 12100, ""dollar"": 10406}",1240000.0,,0,2,1240000,2022-08-08,0,1,57.0,2.0,Hotel,16.3265306122449,236.734693877551,253.061224489796,0,desktop,2,1.0,0.0,1,0,1
88252918,1,1,1,draft,2022-08-08 03:06:24.273000,2022-08-29,2022-09-02,0,0,0,,1800000,0,1800000,1620000,b2c,,rials,"{""euro"": 12100, ""dollar"": 10406}",1800000.0,,0,4,1800000,2022-08-08,0,6,99.0,3.0,Hotel,36.734693877551,330.612244897959,367.34693877551,0,desktop,3,1.0,0.0,6,0,4
88252598,1,1,1,draft,2022-08-08 02:43:21.929000,2022-08-08,2022-08-09,0,0,0,,1109500,0,1109500,998550,b2c,,rials,"{""euro"": 12100, ""dollar"": 10406}",1109500.0,15071692301,1,1,1109500,2022-08-08,0,7,92.0,3.0,Hotel,22.6428571428571,203.785714285714,226.428571428571,0,desktop,2,1.0,0.0,7,0,6
88246728,1,1,1,draft,2022-08-08 01:15:28.725000,2022-08-20,2022-08-22,0,0,0,,798000,0,798000,790020,b2c,,rials,"{""euro"": 12100, ""dollar"": 10406}",798000.0,,0,2,798000,2022-08-08,0,8,76.0,1.0,BudgetRoom,1.62857142857143,161.228571428571,162.857142857143,0,desktop,1,0.0,0.0,8,0,1
